"DATE","VALUE"
"1",2015-12-01,5
"2",2015-11-01,5.3
"3",2015-10-01,5
"4",2015-09-01,4.9
"5",2015-08-01,4.9
"6",2015-07-01,5
"7",2015-06-01,4.9
"8",2015-05-01,4.6
"9",2015-04-01,4.3
"10",2015-03-01,4.8
"11",2015-02-01,5.1
"12",2015-01-01,5.1
"13",2014-12-01,4.7
"14",2014-11-01,5.2
"15",2014-10-01,5
"16",2014-09-01,5.1
"17",2014-08-01,5.4
"18",2014-07-01,5.5
"19",2014-06-01,5.4
"20",2014-05-01,5.1
"21",2014-04-01,4.8
"22",2014-03-01,5.7
"23",2014-02-01,5.9
"24",2014-01-01,5.7
"25",2013-12-01,5.3
"26",2013-11-01,5.7
"27",2013-10-01,5.8
"28",2013-09-01,5.7
"29",2013-08-01,5.9
"30",2013-07-01,6
"31",2013-06-01,6.1
"32",2013-05-01,5.5
"33",2013-04-01,5.3
"34",2013-03-01,5.9
"35",2013-02-01,6.3
"36",2013-01-01,6.5
"37",2012-12-01,6.1
"38",2012-11-01,6.4
"39",2012-10-01,6.4
"40",2012-09-01,6.6
"41",2012-08-01,7.1
"42",2012-07-01,7.6
"43",2012-06-01,7.6
"44",2012-05-01,7.2
"45",2012-04-01,6.9
"46",2012-03-01,7.8
"47",2012-02-01,8.1
"48",2012-01-01,8.2
"49",2011-12-01,7.8
"50",2011-11-01,8.1
"51",2011-10-01,8.2
"52",2011-09-01,8.4
"53",2011-08-01,8.6
"54",2011-07-01,8.9
"55",2011-06-01,9
"56",2011-05-01,8.6
"57",2011-04-01,8.5
"58",2011-03-01,9.2
"59",2011-02-01,9.5
"60",2011-01-01,9.6
"61",2010-12-01,9.1
"62",2010-11-01,9.6
"63",2010-10-01,9.3
"64",2010-09-01,9.4
"65",2010-08-01,9.5
"66",2010-07-01,9.6
"67",2010-06-01,9.8
"68",2010-05-01,9.4
"69",2010-04-01,9.3
"70",2010-03-01,10.2
"71",2010-02-01,10.3
"72",2010-01-01,10.3
"73",2009-12-01,9.7
"74",2009-11-01,9.6
"75",2009-10-01,9.7
"76",2009-09-01,9.8
"77",2009-08-01,9.5
"78",2009-07-01,9.3
"79",2009-06-01,9.1
"80",2009-05-01,8.3
"81",2009-04-01,7.5
"82",2009-03-01,7.6
"83",2009-02-01,7.4
"84",2009-01-01,6.7
"85",2008-12-01,5.6
"86",2008-11-01,5.4
"87",2008-10-01,5.1
"88",2008-09-01,4.7
"89",2008-08-01,4.7
"90",2008-07-01,4.7
"91",2008-06-01,4.6
"92",2008-05-01,4.1
"93",2008-04-01,3.4
"94",2008-03-01,4
"95",2008-02-01,3.9
"96",2008-01-01,3.7
"97",2007-12-01,3.4
"98",2007-11-01,3.6
"99",2007-10-01,3.5
"100",2007-09-01,3.7
"101",2007-08-01,3.6
"102",2007-07-01,3.9
"103",2007-06-01,3.9
"104",2007-05-01,3.5
"105",2007-04-01,3.2
"106",2007-03-01,3.9
"107",2007-02-01,4.2
"108",2007-01-01,4.2
"109",2006-12-01,3.8
"110",2006-11-01,4.2
"111",2006-10-01,3.9
"112",2006-09-01,4.2
"113",2006-08-01,4.2
"114",2006-07-01,4.4
"115",2006-06-01,4.5
"116",2006-05-01,4.2
"117",2006-04-01,3.8
"118",2006-03-01,4.3
"119",2006-02-01,4.4
"120",2006-01-01,4.1
